סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
336       ,דורות                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,811       ,91        ,155       ,295       ,53        ,48        ,169
338       ,איבים                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,539       ,40        ,141       ,260       ,40        ,26        ,32
339       ,רמת צבי                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,742       ,104       ,180       ,246       ,67        ,45        ,100
340       ,גת )קיבוץ(               ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,950       ,95        ,239       ,283       ,115       ,55        ,163
342       ,גברעם                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,659       ,119       ,134       ,256       ,57        ,26        ,67
343       ,חמדיה                    ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,435       ,42        ,71        ,150       ,42        ,29        ,101
344       ,מענית                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,844       ,102       ,186       ,291       ,75        ,65        ,125
345       ,כפר סאלד                 ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,705       ,84        ,110       ,288       ,73        ,39        ,111
346       ,גליל ים                  ,51        ,תל אביב                  ,57        ,הרצליה                   ,19        ,חוף השרון                ,529       ,70        ,99        ,190       ,46        ,35        ,89
347       ,מנרה                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,266       ,33        ,26        ,97        ,31        ,20        ,59
348       ,ניר עם                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,589       ,76        ,100       ,217       ,56        ,45        ,95
351       ,ניצן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,2490      ,300       ,753       ,869       ,224       ,184       ,160
352       ,גבולות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,460       ,39        ,85        ,164       ,33        ,57        ,82
353       ,בית זיד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,139       ,9         ,15        ,32        ,19        ,24        ,40
354       ,רביבים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,936       ,60        ,144       ,343       ,99        ,111       ,179
355       ,חורשים                   ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,398       ,34        ,56        ,126       ,52        ,54        ,76
356       ,הגושרים                  ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,927       ,102       ,153       ,352       ,91        ,90        ,139
357       ,כפר בלום                 ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1063      ,85        ,232       ,337       ,128       ,54        ,227
358       ,יד מרדכי                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,909       ,73        ,131       ,323       ,99        ,61        ,222
359       ,ניצנים                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,559       ,83        ,85        ,175       ,46        ,47        ,123
360       ,גבעת ניל"י               ,32        ,חדרה                     ,32        ,חדרה                     ,45        ,אלונה                    ,654       ,45        ,170       ,223       ,81        ,69        ,66
362       ,רוחמה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,747       ,64        ,158       ,218       ,83        ,45        ,179
363       ,חפץ חיים                 ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,652       ,124       ,189       ,209       ,38        ,33        ,59
364       ,כפר אוריה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,881       ,77        ,275       ,273       ,121       ,63        ,72
365       ,בית קשת                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,768       ,56        ,217       ,234       ,103       ,62        ,96
366       ,שמיר                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,932       ,66        ,182       ,323       ,123       ,85        ,153
367       ,עין העמק                 ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,840       ,87        ,161       ,319       ,91        ,77        ,105
368       ,ביריה                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,921       ,95        ,245       ,295       ,83        ,82        ,121
369       ,גלעד )אבן יצחק(          ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,571       ,61        ,115       ,188       ,56        ,45        ,106
370       ,גזר                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,494       ,33        ,62        ,202       ,35        ,70        ,92
371       ,כדורי                    ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,95        ,6         ,22        ,45        ,5         ,9         ,8
372       ,רמות נפתלי               ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,585       ,32        ,124       ,179       ,113       ,35        ,102
373       ,בית הלוי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,781       ,76        ,176       ,258       ,89        ,71        ,111
374       ,חוקוק                    ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,724       ,67        ,194       ,212       ,110       ,41        ,100
375       ,מגל                      ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1312      ,101       ,399       ,377       ,226       ,62        ,147
376       ,עברון                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,957       ,102       ,171       ,350       ,98        ,58        ,178
377       ,המעפיל                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,976       ,79        ,263       ,287       ,159       ,54        ,134
378       ,משגב עם                  ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,335       ,30        ,44        ,146       ,33        ,27        ,55
379       ,גאולים                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,993       ,92        ,212       ,334       ,121       ,98        ,136
380       ,להבות הבשן               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,985       ,57        ,228       ,322       ,165       ,85        ,128
382       ,מכמורת                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1472      ,131       ,278       ,459       ,197       ,138       ,269
383       ,עין הנצי"ב               ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,657       ,80        ,153       ,227       ,50        ,46        ,101
385       ,עמיעד                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,576       ,45        ,81        ,193       ,61        ,59        ,137
386       ,בני דרור                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1248      ,76        ,184       ,299       ,110       ,122       ,457
387       ,כפר מונש                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,941       ,98        ,219       ,295       ,115       ,91        ,123
388       ,כפר קיש                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,697       ,61        ,185       ,230       ,85        ,52        ,84
389       ,בצרה                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1157      ,91        ,296       ,343       ,203       ,76        ,148
390       ,רגבה                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1134      ,84        ,217       ,384       ,125       ,87        ,237
392       ,קדמה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,43        ,6         ,12        ,15        ,5         ,0         ,5
393       ,גלאון                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,715       ,82        ,155       ,224       ,73        ,49        ,132
394       ,שובל                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,926       ,100       ,186       ,317       ,95        ,75        ,153
395       ,משמר הנגב                ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1240      ,112       ,255       ,367       ,130       ,133       ,243
396       ,נבטים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1090      ,87        ,255       ,404       ,121       ,115       ,108
397       ,חצרים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1112      ,101       ,193       ,378       ,123       ,111       ,206
398       ,שרשרת                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,399       ,39        ,107       ,119       ,46        ,44        ,44
399       ,בארי                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,1195      ,121       ,229       ,419       ,124       ,106       ,196
400       ,אבן שמואל                ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,1832      ,247       ,664       ,615       ,144       ,69        ,93
402       ,ניר יצחק                 ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,732       ,51        ,90        ,304       ,57        ,98        ,132
403       ,אורים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,587       ,25        ,73        ,217       ,50        ,69        ,153
405       ,נווה אילן                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1018      ,73        ,253       ,323       ,122       ,82        ,165
406       ,חצור-אשדוד               ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,960       ,104       ,175       ,300       ,92        ,76        ,213
407       ,דברת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,578       ,85        ,138       ,190       ,59        ,35        ,71
408       ,נאות מרדכי               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,752       ,85        ,130       ,267       ,69        ,61        ,140
409       ,יחיעם                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,865       ,63        ,234       ,269       ,102       ,41        ,156
412       ,קרית שלמה                ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,11        ,0         ,0         ,1         ,0         ,1         ,9
413       ,צאלים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,528       ,43        ,92        ,184       ,59        ,53        ,97
414       ,קלחים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,633       ,72        ,197       ,215       ,69        ,33        ,47
415       ,שוקדה                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,634       ,133       ,224       ,203       ,18        ,23        ,33
416       ,מעין ברוך                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,652       ,60        ,117       ,234       ,75        ,52        ,114
417       ,יקום                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,785       ,84        ,152       ,266       ,104       ,45        ,134
418       ,בני ציון                 ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1204      ,86        ,289       ,386       ,176       ,112       ,155
419       ,סעד                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,976       ,103       ,267       ,332       ,81        ,39        ,154
421       ,משאבי שדה                ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,611       ,57        ,81        ,201       ,67        ,70        ,135
422       ,חרב לאת                  ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,808       ,80        ,168       ,269       ,109       ,62        ,120
423       ,העוגן                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,900       ,79        ,163       ,288       ,94        ,76        ,200
424       ,גבים                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,655       ,51        ,141       ,247       ,94        ,50        ,72
425       ,משמרת                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,975       ,64        ,268       ,277       ,200       ,75        ,91
426       ,עין כרמל                 ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,815       ,59        ,223       ,254       ,133       ,50        ,96
427       ,כפר גלים                 ,31        ,חיפה                     ,31        ,חיפה                     ,15        ,חוף הכרמל                ,156       ,9         ,48        ,68        ,19        ,5         ,7
428       ,ברור חיל                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,1037      ,75        ,192       ,360       ,124       ,108       ,178
429       ,אלוני אבא                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1049      ,54        ,320       ,307       ,206       ,69        ,93
430       ,בית לחם הגלילית          ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,860       ,74        ,168       ,283       ,115       ,98        ,122
431       ,דלתון                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,914       ,86        ,204       ,352       ,105       ,85        ,82
432       ,שמרת                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,635       ,62        ,134       ,216       ,54        ,52        ,117
433       ,נחשולים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,784       ,84        ,164       ,263       ,99        ,61        ,113
434       ,החותרים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,890       ,116       ,179       ,309       ,92        ,57        ,137
435       ,נצר סרני                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,999       ,155       ,210       ,324       ,94        ,49        ,167
436       ,עין דור                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1369      ,135       ,278       ,423       ,153       ,127       ,253
437       ,רשפים                    ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,1101      ,158       ,303       ,406       ,78        ,61        ,95
439       ,שלוחות                   ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,495       ,72        ,74        ,159       ,27        ,60        ,103
440       ,יסודות                   ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,767       ,156       ,293       ,220       ,23        ,16        ,59
442       ,גדעונה                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,482       ,65        ,120       ,175       ,46        ,27        ,49
443       ,כפר הנשיא                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,919       ,76        ,119       ,288       ,115       ,107       ,214
444       ,רגבים                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,646       ,70        ,141       ,181       ,69        ,55        ,130
445       ,רמות מנשה                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1386      ,116       ,389       ,408       ,221       ,98        ,154
446       ,אודים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1170      ,109       ,243       ,405       ,167       ,100       ,146
447       ,נורדיה                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1952      ,152       ,260       ,530       ,167       ,213       ,630
448       ,בני עטרות                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,900       ,65        ,233       ,301       ,114       ,81        ,106
449       ,נחלים                    ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,1472      ,208       ,369       ,466       ,128       ,87        ,214
450       ,בארות יצחק               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,584       ,64        ,88        ,205       ,53        ,46        ,128
452       ,יזרעאל                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,790       ,41        ,147       ,233       ,107       ,48        ,214
453       ,יפתח                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,744       ,65        ,134       ,283       ,78        ,65        ,119
454       ,סער                      ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,965       ,75        ,257       ,308       ,137       ,91        ,97
456       ,שורש                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1321      ,72        ,148       ,291       ,112       ,112       ,586
457       ,גזית                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,882       ,84        ,153       ,301       ,95        ,80        ,169
460       ,רמת רזיאל                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,691       ,59        ,165       ,209       ,98        ,57        ,103
462       ,טל שחר                   ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1248      ,132       ,319       ,417       ,168       ,78        ,134
463       ,געתון                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,806       ,61        ,186       ,272       ,85        ,70        ,132
464       ,הראל                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,324       ,16        ,65        ,92        ,37        ,59        ,55
465       ,צובה                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,808       ,56        ,131       ,312       ,88        ,94        ,127
466       ,בית דגן                  ,43        ,רמלה                     ,43        ,רמלה                     ,0         ,                         ,7053      ,528       ,1459      ,2523      ,960       ,717       ,866
469       ,קרית עקרון               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,11381     ,1120      ,2090      ,4152      ,1230      ,1164      ,1625
472       ,אבו גוש                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,0         ,                         ,8372      ,957       ,2014      ,3370      ,834       ,663       ,534
473       ,אבו סנאן                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13802     ,1354      ,3032      ,5888      ,1530      ,1006      ,992
475       ,דחי                      ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,746       ,72        ,166       ,304       ,98        ,54        ,52
478       ,אכסאל                    ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,15234     ,1741      ,3912      ,6347      ,1576      ,926       ,732
480       ,בית ג'ן                  ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12408     ,1097      ,2601      ,5499      ,1372      ,942       ,897
481       ,מגאר                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,23527     ,2326      ,5233      ,10514     ,2505      ,1562      ,1387
482       ,בועיינה-נוג'ידאת         ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,10376     ,1175      ,2680      ,4562      ,989       ,531       ,439
483       ,בענה                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,8546      ,833       ,2129      ,3646      ,940       ,537       ,461
485       ,ג'ולס                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6583      ,604       ,1297      ,2887      ,789       ,532       ,474
487       ,ג'ש )גוש חלב(            ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3337      ,254       ,630       ,1302      ,443       ,298       ,410
489       ,דבוריה                   ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,10805     ,1147      ,2631      ,4305      ,1293      ,742       ,687
490       ,דייר אל-אסד              ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12905     ,1373      ,3366      ,5372      ,1328      ,772       ,694
492       ,דייר חנא                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,10846     ,1027      ,2531      ,4595      ,1217      ,790       ,686
493       ,דייר ראפאת               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,100       ,12        ,34        ,34        ,12        ,0         ,8
494       ,דאלית אל-כרמל            ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,17862     ,1569      ,3640      ,7356      ,2287      ,1556      ,1454
496       ,חורפיש                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6720      ,678       ,1475      ,2937      ,752       ,435       ,443
497       ,טייבה )בעמק(             ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1926      ,241       ,460       ,853       ,177       ,104       ,91
498       ,טורעאן                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,14815     ,1594      ,3819      ,6091      ,1558      ,898       ,855
499       ,יפיע                     ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,19652     ,1884      ,4696      ,8190      ,2234      ,1407      ,1241
502       ,ירכא                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,16197     ,1589      ,3932      ,7005      ,1698      ,1071      ,902
504       ,כאבול                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12489     ,1283      ,3191      ,5196      ,1411      ,789       ,619
505       ,כאוכב אבו אל-היג'א       ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4000      ,414       ,971       ,1609      ,492       ,239       ,275
507       ,כפר יאסיף                ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,11143     ,999       ,2236      ,4641      ,1286      ,1009      ,972
508       ,כפר כמא                  ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,3525      ,280       ,654       ,1467      ,367       ,308       ,449
509       ,כפר כנא                  ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,23387     ,2661      ,6085      ,9654      ,2325      ,1417      ,1245
510       ,כפר מנדא                 ,24        ,עכו                      ,25        ,נוף הגליל                ,0         ,                         ,20776     ,2572      ,5605      ,8910      ,1882      ,995       ,812
511       ,עילוט                    ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,8581      ,1080      ,2282      ,3559      ,886       ,427       ,347
512       ,כפר מצר                  ,25        ,נצרת                     ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,2814      ,278       ,749       ,1185      ,297       ,177       ,128
514       ,עין ראפה                 ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1288      ,145       ,365       ,503       ,128       ,66        ,81
516       ,מג'ד אל-כרום             ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,15762     ,1408      ,4072      ,6636      ,1780      ,991       ,875
517       ,מזרעה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4068      ,446       ,721       ,1730      ,456       ,405       ,310
518       ,מעיליא                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3370      ,233       ,619       ,1282      ,471       ,296       ,469
520       ,משהד                     ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,8913      ,1060      ,2308      ,3784      ,808       ,506       ,447
521       ,עין נקובא                ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,3756      ,530       ,1118      ,1535      ,301       ,173       ,99
522       ,נחף                      ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13747     ,1622      ,3697      ,5796      ,1335      ,707       ,590
523       ,ניין                     ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,1979      ,186       ,458       ,830       ,228       ,136       ,141
524       ,נאעורה                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,2445      ,306       ,677       ,991       ,228       ,131       ,112
525       ,סאג'ור                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4407      ,410       ,980       ,2067      ,485       ,242       ,223
526       ,סולם                     ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,3063      ,321       ,740       ,1298      ,303       ,194       ,207
527       ,שזור                     ,24        ,עכו                      ,21        ,צפת                      ,2         ,מרום הגליל               ,360       ,37        ,45        ,122       ,38        ,56        ,62
528       ,עוזייר                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,65        ,אל-בטוף                  ,3359      ,440       ,918       ,1408      ,297       ,151       ,145
529       ,אעבלין                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13568     ,1293      ,3216      ,5629      ,1559      ,993       ,878
530       ,עיילבון                  ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,5926      ,516       ,1261      ,2435      ,650       ,489       ,575
531       ,עראבה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,26923     ,2942      ,7343      ,11051     ,2770      ,1499      ,1318
532       ,עין מאהל                 ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,13831     ,1462      ,3385      ,5807      ,1535      ,936       ,706
534       ,עספיא                    ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,12826     ,1060      ,2588      ,5247      ,1591      ,1116      ,1224
535       ,פסוטה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3510      ,302       ,597       ,1432      ,469       ,314       ,396
536       ,פקיעין )בוקייעה(         ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6123      ,539       ,1188      ,2608      ,706       ,541       ,541
537       ,פוריידיס                 ,32        ,חדרה                     ,32        ,חדרה                     ,0         ,                         ,13602     ,1594      ,3334      ,5647      ,1392      ,933       ,702
538       ,שעב                      ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,7485      ,811       ,1807      ,3205      ,866       ,450       ,346
539       ,רומאנה                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,65        ,אל-בטוף                  ,1241      ,155       ,351       ,542       ,102       ,57        ,34
540       ,ריחאניה                  ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,1286      ,119       ,252       ,533       ,136       ,121       ,125
541       ,ג'סר א-זרקא              ,32        ,חדרה                     ,32        ,חדרה                     ,0         ,                         ,15311     ,2046      ,4433      ,6295      ,1362      ,706       ,469
542       ,ריינה                    ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,17019     ,1701      ,3988      ,7108      ,1904      ,1300      ,1018
543       ,ראמה                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,8779      ,751       ,1689      ,3560      ,1012      ,750       ,1017
546       ,עין אל-אסד               ,24        ,עכו                      ,21        ,צפת                      ,2         ,מרום הגליל               ,928       ,68        ,225       ,387       ,111       ,71        ,66
547       ,טמרה )יזרעאל(            ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1649      ,180       ,431       ,703       ,164       ,87        ,84
549       ,גנות הדר                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1022      ,56        ,266       ,329       ,155       ,104       ,112
553       ,ניר בנים                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,808       ,56        ,173       ,261       ,130       ,91        ,97
555       ,שדמה                     ,44        ,רחובות                   ,44        ,רחובות                   ,32        ,גדרות                    ,514       ,29        ,113       ,171       ,77        ,50        ,74
559       ,בוסתן הגליל              ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1092      ,117       ,254       ,410       ,108       ,87        ,116
562       ,בית אלעזרי               ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,1616      ,154       ,417       ,522       ,210       ,109       ,204
563       ,משמר דוד                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1178      ,182       ,396       ,364       ,136       ,45        ,55
564       ,רבדים                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,942       ,73        ,253       ,274       ,133       ,89        ,120
565       ,אזור                     ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,13607     ,1344      ,2366      ,4812      ,1519      ,1267      ,2299
566       ,גבעת שמש                 ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,12        ,1         ,0         ,5         ,0         ,0         ,6
567       ,צרעה                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1207      ,79        ,173       ,372       ,168       ,119       ,296
